1330732800000,1330732800000,1, ICMP PING , Classification: Misc activity, 10.0.2.92 ,53, 10.1.0.2,2093,1.0
1330733100000,1330733100000,2, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.2.92,2093,4.0
1330732800001,1330732800001,3, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100001,1330733100001,4, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330732800002,1330732800002,5, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330733100002,1330733100002,6, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800003,1330732800003,7, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330733100003,1330733100003,8, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330732800004,1330732800004,9, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330733100004,1330733100004,10, ICMP Destination Unreachable Host Unreachable , Classification: Misc activity, 4.4.4.1 ,53, 10.0.0.2,2093,4.0
1330732800005,1330732800005,11, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330733100005,1330733100005,12, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330732800006,1330732800006,13, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330733100006,1330733100006,14, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330732800007,1330732800007,15, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330733100007,1330733100007,16, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
1330732800008,1330732800008,17, ICMP PING , Classification: Misc activity, 10.0.0.10 ,53, 10.1.0.2,2093,3.0
1330733100008,1330733100008,18, ICMP Echo Reply , Classification: Misc activity, 10.1.0.2 ,53, 10.0.0.10,2093,4.0
